BayesianSearch: New best config found. Config 0: {'alphas0': 47.42756945800147, 'alphas1': 67.5412598864814, 'alphas2': 68.63564940982056, 'alphas3': 67.78013910273005, 'alphas4': 49.885095742877795, 'alphas5': 30.750536583415993, 'alphas6': 23.802768523557788, 'alphas7': 4.537038185395455, 'alphas8': 21.81250356640906, 'alphas9': 38.213209385708, 'alphas10': 64.97349830203947, 'alphas11': 38.39817379000459, 'alphas12': 31.42278368806639, 'alphas13': 66.88630108299022} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.061956179043839564, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 26.991692833381475, 'alphas1': 51.85374976409578, 'alphas2': 29.459323187243843, 'alphas3': 76.57241271624373, 'alphas4': 11.228062433011614, 'alphas5': 69.60698066867492, 'alphas6': 37.88864362189685, 'alphas7': 64.07286015837155, 'alphas8': 41.6381983640964, 'alphas9': 54.310362409516834, 'alphas10': 57.65061237807335, 'alphas11': 46.56158336600858, 'alphas12': 42.98985835592086, 'alphas13': 60.68924994578859} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06255497729276872, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 8.472608575023372, 'alphas1': 37.888033547732604, 'alphas2': 14.906587466140799, 'alphas3': 58.95345417031666, 'alphas4': 17.324028353949753, 'alphas5': 10.817453872436166, 'alphas6': 25.93128062345713, 'alphas7': 11.973989374694655, 'alphas8': 17.785711060127017, 'alphas9': 30.919118490068964, 'alphas10': 72.20787804235239, 'alphas11': 35.99599919289822, 'alphas12': 49.045076630730605, 'alphas13': 72.18788665391875} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.061032512755101825, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 7.942428028717911, 'alphas1': 77.58472541973993, 'alphas2': 52.25120286383502, 'alphas3': 13.672766810883614, 'alphas4': 28.652173357562006, 'alphas5': 60.054891297476516, 'alphas6': 48.62645349723743, 'alphas7': 26.003778320668204, 'alphas8': 3.0740341178187784, 'alphas9': 50.741924636586816, 'alphas10': 76.71594148996165, 'alphas11': 52.22322536043927, 'alphas12': 50.80470988828512, 'alphas13': 79.62396541423102} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06182199703955622, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 4: {'alphas0': 46.548026355082754, 'alphas1': 33.149487058109514, 'alphas2': 37.97580018307304, 'alphas3': 49.880808090549465, 'alphas4': 27.040609187111343, 'alphas5': 53.98018578072167, 'alphas6': 25.37613936554369, 'alphas7': 62.26763856207274, 'alphas8': 75.96568427605939, 'alphas9': 53.00214935600355, 'alphas10': 1.085730848968787, 'alphas11': 49.82768764373357, 'alphas12': 53.89277046686316, 'alphas13': 77.75560019997327} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0658924392164272, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 70.25547770777418, 'alphas1': 40.76995013759202, 'alphas2': 4.457175496128506, 'alphas3': 36.09273716167426, 'alphas4': 1.5990132327006992, 'alphas5': 35.33687369990764, 'alphas6': 78.3669383050183, 'alphas7': 28.755557117545724, 'alphas8': 38.471482466893036, 'alphas9': 55.092894624461636, 'alphas10': 70.43807114020765, 'alphas11': 73.4588373089716, 'alphas12': 17.345771010203435, 'alphas13': 45.215109328390035} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06148211712648, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 69.20820490443081, 'alphas1': 40.71751685336117, 'alphas2': 73.33783632155688, 'alphas3': 73.692608818976, 'alphas4': 6.648999410448192, 'alphas5': 22.2174849024826, 'alphas6': 0.7485363885226094, 'alphas7': 67.3873663734185, 'alphas8': 51.773931215004446, 'alphas9': 67.31088953578836, 'alphas10': 21.178413142675975, 'alphas11': 31.82566022069033, 'alphas12': 44.22571839100573, 'alphas13': 13.195236819350733} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0642924006046862, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 29.584647419867206, 'alphas1': 11.715341018328981, 'alphas2': 45.56947247386454, 'alphas3': 56.29898234319331, 'alphas4': 23.078114963882296, 'alphas5': 34.66304495856353, 'alphas6': 60.48853550920329, 'alphas7': 31.687862033868992, 'alphas8': 71.68307100072619, 'alphas9': 51.11368609850504, 'alphas10': 71.32435497805419, 'alphas11': 54.40444555707299, 'alphas12': 35.93581905746977, 'alphas13': 78.28567427365738} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06153808950617254, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 9.296152768991554, 'alphas1': 61.361896284698155, 'alphas2': 32.94561111718758, 'alphas3': 54.03512649601889, 'alphas4': 19.98370205239825, 'alphas5': 25.05746655567608, 'alphas6': 77.23329764159418, 'alphas7': 47.07720680549996, 'alphas8': 52.77347296555304, 'alphas9': 42.65650031333187, 'alphas10': 18.442641880506393, 'alphas11': 31.589543476018342, 'alphas12': 49.50468516730858, 'alphas13': 37.989401232715366} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0637824417044593, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 37.61057514046122, 'alphas1': 57.28596249829146, 'alphas2': 23.039280349062444, 'alphas3': 30.67697800279584, 'alphas4': 59.93358697221798, 'alphas5': 70.27617522208338, 'alphas6': 8.229068695475059, 'alphas7': 7.3899111568718565, 'alphas8': 28.32373296670482, 'alphas9': 44.145300730660715, 'alphas10': 2.6900074799065625, 'alphas11': 77.5169412208219, 'alphas12': 25.679779309879805, 'alphas13': 17.701014814702628} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0652765649092969, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 11.301112394071737, 'alphas1': 7.780794165053912, 'alphas2': 78.72337930913173, 'alphas3': 20.827274206992378, 'alphas4': 42.96180171006238, 'alphas5': 35.8340937496584, 'alphas6': 7.965527128864888, 'alphas7': 28.184932896042646, 'alphas8': 37.53993391921938, 'alphas9': 67.29121038284798, 'alphas10': 72.3718195367611, 'alphas11': 3.004750706251223, 'alphas12': 40.66523588631128, 'alphas13': 13.347801043879974} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0607412056248423, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
