BayesianSearch: New best config found. Config 0: {'alphas0': 82.14069508301314, 'alphas1': 18.69380912750045, 'alphas2': 81.67594684492835, 'alphas3': 18.354449123581766, 'alphas4': 14.211045966767713, 'alphas5': 43.382051919045615, 'alphas6': 9.182715995119063, 'alphas7': 38.648164606366606, 'alphas8': 85.78866593940012, 'alphas9': 29.040936571147284, 'alphas10': 30.445724339346143, 'alphas11': 21.421678397038217, 'alphas12': 78.610524393808, 'alphas13': 24.322920527726215, 'alphas14': 44.34441688903964} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10165558678917466, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 79.85353917210259, 'alphas1': 18.474298033287386, 'alphas2': 2.2546275002344967, 'alphas3': 23.340096956219476, 'alphas4': 19.166270392940593, 'alphas5': 6.515952910291424, 'alphas6': 76.68335815552032, 'alphas7': 13.50761029286173, 'alphas8': 18.976571255170022, 'alphas9': 30.379830230111132, 'alphas10': 61.35881514413272, 'alphas11': 99.94208524122715, 'alphas12': 59.238668189379375, 'alphas13': 32.91687822857971, 'alphas14': 75.1115413198186} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.112771684891505, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 74.22845995601796, 'alphas1': 29.035616006783364, 'alphas2': 0.2883682282501799, 'alphas3': 37.026926957701924, 'alphas4': 59.28893491126581, 'alphas5': 26.478863715684547, 'alphas6': 26.73757885088362, 'alphas7': 75.88610840564857, 'alphas8': 4.436659986162118, 'alphas9': 22.803140908155743, 'alphas10': 29.956307721404123, 'alphas11': 15.714037793462534, 'alphas12': 44.85902821931165, 'alphas13': 66.16282734709654, 'alphas14': 82.22419123599559} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11220988322772861, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 27.32407707784362, 'alphas1': 5.027801000544797, 'alphas2': 72.31019351247284, 'alphas3': 65.29304162564186, 'alphas4': 72.38803422598383, 'alphas5': 13.976185183626901, 'alphas6': 48.33323318706125, 'alphas7': 21.395771312856, 'alphas8': 70.35258681450152, 'alphas9': 13.466672598854226, 'alphas10': 35.581444837874336, 'alphas11': 8.899214126660118, 'alphas12': 48.98369736850624, 'alphas13': 0.4425884481634835, 'alphas14': 69.1103954257115} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.09807193699359965, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 86.18414473171173, 'alphas1': 45.34469769157846, 'alphas2': 43.81461204392626, 'alphas3': 25.36491196885508, 'alphas4': 35.020537623640315, 'alphas5': 93.51883772534713, 'alphas6': 78.52263219685081, 'alphas7': 30.946726178636847, 'alphas8': 8.570740866067062, 'alphas9': 43.436069095940454, 'alphas10': 69.98555860307266, 'alphas11': 1.201212227032456, 'alphas12': 91.40235319741474, 'alphas13': 93.63312288862984, 'alphas14': 50.79713084566679} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11071987549191911, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 5: {'alphas0': 95.83408528596105, 'alphas1': 12.112031156752904, 'alphas2': 24.671935581010857, 'alphas3': 43.652143550215904, 'alphas4': 60.317544815362346, 'alphas5': 72.06075180068122, 'alphas6': 48.688952478579125, 'alphas7': 30.204664249934893, 'alphas8': 39.74421754735917, 'alphas9': 21.49244686146879, 'alphas10': 27.664656602204335, 'alphas11': 74.42272072926207, 'alphas12': 19.63995371164839, 'alphas13': 91.0918368218758, 'alphas14': 98.14117918857825} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11338233998650658, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 55.523281298907854, 'alphas1': 53.69953460741317, 'alphas2': 72.18407942951127, 'alphas3': 3.0037898175533715, 'alphas4': 74.32720765620489, 'alphas5': 24.874104191244744, 'alphas6': 91.89482497405044, 'alphas7': 2.8046703191743747, 'alphas8': 65.16187166597851, 'alphas9': 20.00825403267445, 'alphas10': 94.23745083839647, 'alphas11': 62.67138206658196, 'alphas12': 74.53243990011137, 'alphas13': 61.918264572870974, 'alphas14': 21.979467468250085} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1116634391853315, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 12.122997767906543, 'alphas1': 91.67386907426605, 'alphas2': 98.69150901244743, 'alphas3': 14.116814119905877, 'alphas4': 98.76329028525794, 'alphas5': 12.234377575322478, 'alphas6': 6.334603437125254, 'alphas7': 38.27033000713571, 'alphas8': 34.21572571265626, 'alphas9': 39.38730057351958, 'alphas10': 88.36807106551052, 'alphas11': 84.35913721803817, 'alphas12': 55.638470904334284, 'alphas13': 32.35647736877322, 'alphas14': 71.82544367114846} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10701162747841052, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 8: {'alphas0': 33.48862948534298, 'alphas1': 95.71828973555738, 'alphas2': 14.748773728711265, 'alphas3': 16.88940852753347, 'alphas4': 71.10703387926044, 'alphas5': 80.13607229015489, 'alphas6': 2.084286350506071, 'alphas7': 20.60503645623804, 'alphas8': 30.351121151891686, 'alphas9': 39.200966714578065, 'alphas10': 73.7575938094595, 'alphas11': 67.51981522501997, 'alphas12': 73.31202831028257, 'alphas13': 74.47791687364955, 'alphas14': 74.17651342108822} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11397914052107694, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 22.49075006276073, 'alphas1': 70.24758574612055, 'alphas2': 58.938130496243005, 'alphas3': 33.387126478143244, 'alphas4': 87.89370208929095, 'alphas5': 2.2724384021140858, 'alphas6': 89.52768613181958, 'alphas7': 89.97168690996283, 'alphas8': 24.67273818396692, 'alphas9': 38.96736419197965, 'alphas10': 91.15578279969962, 'alphas11': 98.62149609489659, 'alphas12': 92.67484348764937, 'alphas13': 4.3398692433593515, 'alphas14': 81.36888348562941} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10970599184913003, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 78.76464344685155, 'alphas1': 0.8543780994221597, 'alphas2': 13.47487770517274, 'alphas3': 87.05171968731625, 'alphas4': 33.61863841085279, 'alphas5': 87.99736936958938, 'alphas6': 66.8362832181873, 'alphas7': 89.00376365986247, 'alphas8': 49.11366650274267, 'alphas9': 79.21623335162326, 'alphas10': 51.98056271575234, 'alphas11': 6.860987615038329, 'alphas12': 74.09349074562888, 'alphas13': 7.219008412570995, 'alphas14': 42.91243112595213} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10570941015040025, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
