BayesianSearch: New best config found. Config 0: {'alphas0': 11.161360884609614, 'alphas1': 18.075953318730893, 'alphas2': 34.677549340041566, 'alphas3': 28.709921147449368, 'alphas4': 53.498638323171306, 'alphas5': 45.136982370492206, 'alphas6': 21.044792045098138, 'alphas7': 15.564264558583428, 'alphas8': 37.83970991926894, 'alphas9': 34.72340592589625, 'alphas10': 49.98288454347668, 'alphas11': 57.43039075088021, 'alphas12': 36.433647680481855, 'alphas13': 41.20519317695549} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06155048242630371, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 54.60652567028118, 'alphas1': 44.381947277322325, 'alphas2': 15.655833236525401, 'alphas3': 36.14155033911352, 'alphas4': 29.33788263510875, 'alphas5': 42.93844380844465, 'alphas6': 26.56313308152072, 'alphas7': 48.284249764437675, 'alphas8': 49.152296827823044, 'alphas9': 43.98893510968071, 'alphas10': 3.1778483253439758, 'alphas11': 17.707611637919545, 'alphas12': 33.5910768855543, 'alphas13': 56.41076246599874} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06603198749685026, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 6.934262733211857, 'alphas1': 24.774978620022548, 'alphas2': 51.21218107711096, 'alphas3': 48.56287212278353, 'alphas4': 23.387962972397172, 'alphas5': 34.09526572683774, 'alphas6': 48.23833310059529, 'alphas7': 45.27405917358481, 'alphas8': 7.6030290867309605, 'alphas9': 33.41957790192518, 'alphas10': 36.106736500032724, 'alphas11': 14.591832486347485, 'alphas12': 40.55328720903246, 'alphas13': 56.79694442609541} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06242284010456025, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 48.29404590032358, 'alphas1': 18.266636132223535, 'alphas2': 27.8155305394579, 'alphas3': 24.662223675638778, 'alphas4': 24.003757475326783, 'alphas5': 50.20269603495537, 'alphas6': 51.776344325604605, 'alphas7': 1.644698208554725, 'alphas8': 49.42492571276517, 'alphas9': 44.59120711054537, 'alphas10': 37.534376747461046, 'alphas11': 27.158487208880626, 'alphas12': 8.579254371670324, 'alphas13': 18.16266757355517} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06270317857142835, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 25.489256622041687, 'alphas1': 48.63661820539866, 'alphas2': 25.573804917800665, 'alphas3': 34.85644493494853, 'alphas4': 9.555798204118897, 'alphas5': 44.91596205930698, 'alphas6': 2.4785108748873412, 'alphas7': 55.347665033775264, 'alphas8': 24.263170371586977, 'alphas9': 11.029660301387839, 'alphas10': 53.76648413503225, 'alphas11': 40.59583043165663, 'alphas12': 46.529032992505506, 'alphas13': 58.66971547560646} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.061985521227009066, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 38.9349151557517, 'alphas1': 35.07990710707922, 'alphas2': 26.559844864626093, 'alphas3': 29.668022495335173, 'alphas4': 6.808111784908561, 'alphas5': 42.373963272719195, 'alphas6': 20.79831611887566, 'alphas7': 45.23356198318022, 'alphas8': 10.037799949009901, 'alphas9': 0.29479100300249256, 'alphas10': 7.431583287353313, 'alphas11': 45.91947425592864, 'alphas12': 28.034016781922343, 'alphas13': 56.82246700982676} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06440018912194488, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 17.005887881580392, 'alphas1': 28.304873816922147, 'alphas2': 9.288268948383802, 'alphas3': 13.081469557663313, 'alphas4': 14.997943306827693, 'alphas5': 2.424676241216637, 'alphas6': 22.163582209109876, 'alphas7': 9.111104749864634, 'alphas8': 37.028654633981006, 'alphas9': 3.153493366161951, 'alphas10': 7.168348062538256, 'alphas11': 48.42346556853596, 'alphas12': 47.28822710457263, 'alphas13': 18.034404466488844} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06447201162131488, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 13.630634078951045, 'alphas1': 7.114888385761619, 'alphas2': 40.53793589229257, 'alphas3': 23.091480033130395, 'alphas4': 50.95694148474888, 'alphas5': 18.08258430657341, 'alphas6': 17.919922041488288, 'alphas7': 15.614696822918676, 'alphas8': 47.024706561266065, 'alphas9': 50.92404148287257, 'alphas10': 22.742866800890113, 'alphas11': 17.173999655106595, 'alphas12': 34.71982732414497, 'alphas13': 29.411453220352108} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06310947959183667, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 13.978173117281733, 'alphas1': 39.70376733370778, 'alphas2': 6.065911982814892, 'alphas3': 51.8612415317887, 'alphas4': 5.383568201313561, 'alphas5': 45.310682820704116, 'alphas6': 48.937356347005164, 'alphas7': 46.56651224167307, 'alphas8': 21.472135490763918, 'alphas9': 54.1006605342426, 'alphas10': 4.662814214301428, 'alphas11': 15.316707415010951, 'alphas12': 13.105322762084452, 'alphas13': 6.879271843839116} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06548915567523295, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 31.447847867550355, 'alphas1': 2.614498334036795, 'alphas2': 13.557572814172577, 'alphas3': 40.094745148636804, 'alphas4': 9.109880462677724, 'alphas5': 2.224139341791141, 'alphas6': 34.43346981916325, 'alphas7': 49.622579315681165, 'alphas8': 26.76358579535083, 'alphas9': 6.214848325926655, 'alphas10': 25.808040577472244, 'alphas11': 3.6240182699995014, 'alphas12': 56.78974219557037, 'alphas13': 12.22706319662824} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.062179022171831536, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 21.679831380397967, 'alphas1': 17.685869383684743, 'alphas2': 35.72645855536176, 'alphas3': 15.415696014211862, 'alphas4': 26.232345745452378, 'alphas5': 53.35739229842444, 'alphas6': 12.175811879300264, 'alphas7': 0.7978915429047342, 'alphas8': 42.591242682578844, 'alphas9': 57.16020560111809, 'alphas10': 9.439072786801441, 'alphas11': 39.364742505116425, 'alphas12': 16.995417034059717, 'alphas13': 44.61882107551738} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06533618732678237, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
