BayesianSearch: New best config found. Config 0: {'alphas0': 82.14069508301314, 'alphas1': 18.69380912750045, 'alphas2': 81.67594684492835, 'alphas3': 18.354449123581766, 'alphas4': 14.211045966767713, 'alphas5': 43.382051919045615, 'alphas6': 9.182715995119063, 'alphas7': 38.648164606366606, 'alphas8': 85.78866593940012, 'alphas9': 29.040936571147284, 'alphas10': 30.445724339346143, 'alphas11': 21.421678397038217, 'alphas12': 78.610524393808} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11212242357194001, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 24.322920527726215, 'alphas1': 44.34441688903964, 'alphas2': 79.85353917210259, 'alphas3': 18.474298033287386, 'alphas4': 2.2546275002344967, 'alphas5': 23.340096956219476, 'alphas6': 19.166270392940593, 'alphas7': 6.515952910291424, 'alphas8': 76.68335815552032, 'alphas9': 13.50761029286173, 'alphas10': 18.976571255170022, 'alphas11': 30.379830230111132, 'alphas12': 61.35881514413272} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11232786866297734, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 99.94208524122715, 'alphas1': 59.238668189379375, 'alphas2': 32.91687822857971, 'alphas3': 75.1115413198186, 'alphas4': 74.22845995601796, 'alphas5': 29.035616006783364, 'alphas6': 0.2883682282501799, 'alphas7': 37.026926957701924, 'alphas8': 59.28893491126581, 'alphas9': 26.478863715684547, 'alphas10': 26.73757885088362, 'alphas11': 75.88610840564857, 'alphas12': 4.436659986162118} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10969336391334665, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 22.803140908155743, 'alphas1': 29.956307721404123, 'alphas2': 15.714037793462534, 'alphas3': 44.85902821931165, 'alphas4': 66.16282734709654, 'alphas5': 82.22419123599559, 'alphas6': 27.32407707784362, 'alphas7': 5.027801000544797, 'alphas8': 72.31019351247284, 'alphas9': 65.29304162564186, 'alphas10': 72.38803422598383, 'alphas11': 13.976185183626901, 'alphas12': 48.33323318706125} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10766285358188066, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 21.395771312856, 'alphas1': 70.35258681450152, 'alphas2': 13.466672598854226, 'alphas3': 35.581444837874336, 'alphas4': 8.899214126660118, 'alphas5': 48.98369736850624, 'alphas6': 0.4425884481634835, 'alphas7': 69.1103954257115, 'alphas8': 86.18414473171173, 'alphas9': 45.34469769157846, 'alphas10': 43.81461204392626, 'alphas11': 25.36491196885508, 'alphas12': 35.020537623640315} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10912325143619446, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 93.51883772534713, 'alphas1': 78.52263219685081, 'alphas2': 30.946726178636847, 'alphas3': 8.570740866067062, 'alphas4': 43.436069095940454, 'alphas5': 69.98555860307266, 'alphas6': 1.201212227032456, 'alphas7': 91.40235319741474, 'alphas8': 93.63312288862984, 'alphas9': 50.79713084566679, 'alphas10': 95.83408528596105, 'alphas11': 12.112031156752904, 'alphas12': 24.671935581010857} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10739308608582311, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 43.652143550215904, 'alphas1': 60.317544815362346, 'alphas2': 72.06075180068122, 'alphas3': 48.688952478579125, 'alphas4': 30.204664249934893, 'alphas5': 39.74421754735917, 'alphas6': 21.49244686146879, 'alphas7': 27.664656602204335, 'alphas8': 74.42272072926207, 'alphas9': 19.63995371164839, 'alphas10': 91.0918368218758, 'alphas11': 98.14117918857825, 'alphas12': 55.523281298907854} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11179102533893817, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 53.69953460741317, 'alphas1': 72.18407942951127, 'alphas2': 3.0037898175533715, 'alphas3': 74.32720765620489, 'alphas4': 24.874104191244744, 'alphas5': 91.89482497405044, 'alphas6': 2.8046703191743747, 'alphas7': 65.16187166597851, 'alphas8': 20.00825403267445, 'alphas9': 94.23745083839647, 'alphas10': 62.67138206658196, 'alphas11': 74.53243990011137, 'alphas12': 61.918264572870974} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1075671971996214, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 21.979467468250085, 'alphas1': 12.122997767906543, 'alphas2': 91.67386907426605, 'alphas3': 98.69150901244743, 'alphas4': 14.116814119905877, 'alphas5': 98.76329028525794, 'alphas6': 12.234377575322478, 'alphas7': 6.334603437125254, 'alphas8': 38.27033000713571, 'alphas9': 34.21572571265626, 'alphas10': 39.38730057351958, 'alphas11': 88.36807106551052, 'alphas12': 84.35913721803817} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10867512236804203, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 9: {'alphas0': 55.638470904334284, 'alphas1': 32.35647736877322, 'alphas2': 71.82544367114846, 'alphas3': 33.48862948534298, 'alphas4': 95.71828973555738, 'alphas5': 14.748773728711265, 'alphas6': 16.88940852753347, 'alphas7': 71.10703387926044, 'alphas8': 80.13607229015489, 'alphas9': 2.084286350506071, 'alphas10': 20.60503645623804, 'alphas11': 30.351121151891686, 'alphas12': 39.200966714578065} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1125713283330302, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 73.7575938094595, 'alphas1': 67.51981522501997, 'alphas2': 73.31202831028257, 'alphas3': 74.47791687364955, 'alphas4': 74.17651342108822, 'alphas5': 22.49075006276073, 'alphas6': 70.24758574612055, 'alphas7': 58.938130496243005, 'alphas8': 33.387126478143244, 'alphas9': 87.89370208929095, 'alphas10': 2.2724384021140858, 'alphas11': 89.52768613181958, 'alphas12': 89.97168690996283} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1087419268406271, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 24.67273818396692, 'alphas1': 38.96736419197965, 'alphas2': 91.15578279969962, 'alphas3': 98.62149609489659, 'alphas4': 92.67484348764937, 'alphas5': 4.3398692433593515, 'alphas6': 81.36888348562941, 'alphas7': 78.76464344685155, 'alphas8': 0.8543780994221597, 'alphas9': 13.47487770517274, 'alphas10': 87.05171968731625, 'alphas11': 33.61863841085279, 'alphas12': 87.99736936958938} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10523874413000157, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
