BayesianSearch: New best config found. Config 0: {'alphas0': 82.14069508301314, 'alphas1': 18.69380912750045, 'alphas2': 81.67594684492835, 'alphas3': 18.354449123581766, 'alphas4': 14.211045966767713, 'alphas5': 43.382051919045615, 'alphas6': 9.182715995119063, 'alphas7': 38.648164606366606, 'alphas8': 85.78866593940012, 'alphas9': 29.040936571147284, 'alphas10': 30.445724339346143} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1087609862305914, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 1 is suboptimal. Config: {'alphas0': 21.421678397038217, 'alphas1': 78.610524393808, 'alphas2': 24.322920527726215, 'alphas3': 44.34441688903964, 'alphas4': 79.85353917210259, 'alphas5': 18.474298033287386, 'alphas6': 2.2546275002344967, 'alphas7': 23.340096956219476, 'alphas8': 19.166270392940593, 'alphas9': 6.515952910291424, 'alphas10': 76.68335815552032} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0975808826587094, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 13.50761029286173, 'alphas1': 18.976571255170022, 'alphas2': 30.379830230111132, 'alphas3': 61.35881514413272, 'alphas4': 99.94208524122715, 'alphas5': 59.238668189379375, 'alphas6': 32.91687822857971, 'alphas7': 75.1115413198186, 'alphas8': 74.22845995601796, 'alphas9': 29.035616006783364, 'alphas10': 0.2883682282501799} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.09816562314482591, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 37.026926957701924, 'alphas1': 59.28893491126581, 'alphas2': 26.478863715684547, 'alphas3': 26.73757885088362, 'alphas4': 75.88610840564857, 'alphas5': 4.436659986162118, 'alphas6': 22.803140908155743, 'alphas7': 29.956307721404123, 'alphas8': 15.714037793462534, 'alphas9': 44.85902821931165, 'alphas10': 66.16282734709654} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10264348492300551, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 82.22419123599559, 'alphas1': 27.32407707784362, 'alphas2': 5.027801000544797, 'alphas3': 72.31019351247284, 'alphas4': 65.29304162564186, 'alphas5': 72.38803422598383, 'alphas6': 13.976185183626901, 'alphas7': 48.33323318706125, 'alphas8': 21.395771312856, 'alphas9': 70.35258681450152, 'alphas10': 13.466672598854226} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10576398149319563, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 35.581444837874336, 'alphas1': 8.899214126660118, 'alphas2': 48.98369736850624, 'alphas3': 0.4425884481634835, 'alphas4': 69.1103954257115, 'alphas5': 86.18414473171173, 'alphas6': 45.34469769157846, 'alphas7': 43.81461204392626, 'alphas8': 25.36491196885508, 'alphas9': 35.020537623640315, 'alphas10': 93.51883772534713} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10321381528841586, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 78.52263219685081, 'alphas1': 30.946726178636847, 'alphas2': 8.570740866067062, 'alphas3': 43.436069095940454, 'alphas4': 69.98555860307266, 'alphas5': 1.201212227032456, 'alphas6': 91.40235319741474, 'alphas7': 93.63312288862984, 'alphas8': 50.79713084566679, 'alphas9': 95.83408528596105, 'alphas10': 12.112031156752904} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10764855502897748, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 24.671935581010857, 'alphas1': 43.652143550215904, 'alphas2': 60.317544815362346, 'alphas3': 72.06075180068122, 'alphas4': 48.688952478579125, 'alphas5': 30.204664249934893, 'alphas6': 39.74421754735917, 'alphas7': 21.49244686146879, 'alphas8': 27.664656602204335, 'alphas9': 74.42272072926207, 'alphas10': 19.63995371164839} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1085611013528556, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 91.0918368218758, 'alphas1': 98.14117918857825, 'alphas2': 55.523281298907854, 'alphas3': 53.69953460741317, 'alphas4': 72.18407942951127, 'alphas5': 3.0037898175533715, 'alphas6': 74.32720765620489, 'alphas7': 24.874104191244744, 'alphas8': 91.89482497405044, 'alphas9': 2.8046703191743747, 'alphas10': 65.16187166597851} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10338177375672743, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 20.00825403267445, 'alphas1': 94.23745083839647, 'alphas2': 62.67138206658196, 'alphas3': 74.53243990011137, 'alphas4': 61.918264572870974, 'alphas5': 21.979467468250085, 'alphas6': 12.122997767906543, 'alphas7': 91.67386907426605, 'alphas8': 98.69150901244743, 'alphas9': 14.116814119905877, 'alphas10': 98.76329028525794} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10583184253700874, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 12.234377575322478, 'alphas1': 6.334603437125254, 'alphas2': 38.27033000713571, 'alphas3': 34.21572571265626, 'alphas4': 39.38730057351958, 'alphas5': 88.36807106551052, 'alphas6': 84.35913721803817, 'alphas7': 55.638470904334284, 'alphas8': 32.35647736877322, 'alphas9': 71.82544367114846, 'alphas10': 33.48862948534298} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1080825267575217, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
