BayesianSearch: New best config found. Config 0: {'alphas0': 18.214069508301314, 'alphas1': 26.869380912750046, 'alphas2': 76.33518936898567, 'alphas3': 0.3670889824716353, 'alphas4': 0.28422091933535426, 'alphas5': 0.8676410383809123, 'alphas6': 91.83654319902381, 'alphas7': 3.8648164606366606, 'alphas8': 47.868299890910016, 'alphas9': 39.35614048567209, 'alphas10': 1.522286216967307, 'alphas11': 134.28433567940763, 'alphas12': 125.7221048787616, 'alphas13': 138.64843807915892} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11960522751818471, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 14.434441688903963, 'alphas1': 32.98535391721026, 'alphas2': 63.694859606657474, 'alphas3': 0.04509255000468993, 'alphas4': 0.4668019391243895, 'alphas5': 0.38332540785881186, 'alphas6': 91.30319058205828, 'alphas7': 7.668335815552032, 'alphas8': 37.026141543929256, 'alphas9': 37.8464856882755, 'alphas10': 1.5189915115055566, 'alphas11': 142.27176302882654, 'alphas12': 129.98841704824542, 'alphas13': 143.8858002284069} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11962772705224847, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 2: {'alphas0': 13.291687822857972, 'alphas1': 32.51115413198186, 'alphas2': 74.8456919912036, 'alphas3': 0.5807123201356673, 'alphas4': 0.005767364565003597, 'alphas5': 0.7405385391540386, 'alphas6': 101.85778698225316, 'alphas7': 2.647886371568455, 'alphas8': 39.010636827632545, 'alphas9': 46.38291626084729, 'alphas10': 0.22183299930810588, 'alphas11': 134.56062818163116, 'alphas12': 115.99126154428083, 'alphas13': 137.35710566901938} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11970598537812932, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 14.485902821931164, 'alphas1': 31.616282734709653, 'alphas2': 76.44483824719912, 'alphas3': 0.5464815415568723, 'alphas4': 0.10055602001089595, 'alphas5': 1.4462038702494568, 'alphas6': 103.05860832512838, 'alphas7': 7.238803422598384, 'alphas8': 37.09642777754404, 'alphas9': 42.24998497805919, 'alphas10': 1.0697885656428, 'alphas11': 144.07051736290032, 'alphas12': 112.69333451977084, 'alphas13': 140.33721672568115} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11955270593761722, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 10.88992141266601, 'alphas1': 29.898369736850626, 'alphas2': 60.088517689632695, 'alphas3': 1.38220790851423, 'alphas4': 1.7236828946342346, 'alphas5': 0.9068939538315692, 'alphas6': 98.76292240878526, 'alphas7': 2.536491196885508, 'alphas8': 40.25308064354605, 'alphas9': 49.02782565880207, 'alphas10': 3.9261316098425403, 'alphas11': 136.18934523572736, 'alphas12': 111.71414817321342, 'alphas13': 141.51541036439107} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11947302402267186, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 16.998555860307267, 'alphas1': 25.120121222703247, 'alphas2': 78.28047063948296, 'alphas3': 1.8726624577725968, 'alphas4': 1.0159426169133359, 'alphas5': 1.916681705719221, 'alphas6': 92.42240623135058, 'alphas7': 2.4671935581010858, 'alphas8': 41.54782153253239, 'alphas9': 44.04763172230435, 'alphas10': 3.603037590034061, 'alphas11': 139.7377904957158, 'alphas12': 116.04093284998697, 'alphas13': 140.96163263210389} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11958122694906621, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 12.14924468614688, 'alphas1': 27.766465660220433, 'alphas2': 74.88454414585242, 'alphas3': 0.3927990742329678, 'alphas4': 1.821836736437516, 'alphas5': 1.9628235837715649, 'alphas6': 101.10465625978156, 'alphas7': 5.369953460741317, 'alphas8': 45.82761191442669, 'alphas9': 35.45056847263301, 'alphas10': 3.7163603828102443, 'alphas11': 134.97482083824895, 'alphas12': 128.37896499481008, 'alphas13': 135.42070054787615} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11969810573384355, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 16.516187166597852, 'alphas1': 27.000825403267445, 'alphas2': 78.8474901676793, 'alphas3': 1.2534276413316392, 'alphas4': 1.4906487980022274, 'alphas5': 1.2383652914574195, 'alphas6': 94.39589349365002, 'alphas7': 1.2122997767906543, 'alphas8': 48.751080361139906, 'alphas9': 49.80372635186711, 'alphas10': 0.7058407059952938, 'alphas11': 149.75265805705158, 'alphas12': 112.44687551506449, 'alphas13': 135.95019051556878} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11949853209472573, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 13.827033000713572, 'alphas1': 28.421572571265624, 'alphas2': 67.87746011470392, 'alphas3': 1.7673614213102105, 'alphas4': 1.6871827443607634, 'alphas5': 1.1127694180866856, 'alphas6': 96.47129547375465, 'alphas7': 7.182544367114846, 'alphas8': 40.02329442280145, 'alphas9': 49.35774346033361, 'alphas10': 0.7374386864355632, 'alphas11': 133.3778817055067, 'alphas12': 124.22140677585209, 'alphas13': 147.02041084352322} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11945652468317525, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 10.208428635050607, 'alphas1': 27.060503645623804, 'alphas2': 66.07022423037834, 'alphas3': 0.7840193342915613, 'alphas4': 1.47515187618919, 'alphas5': 1.3503963045003993, 'alphas6': 104.66240566205651, 'alphas7': 7.447791687364954, 'alphas8': 46.12647701316323, 'alphas9': 38.37361250941411, 'alphas10': 3.512379287306028, 'alphas11': 141.7876260992486, 'alphas12': 116.67742529562865, 'alphas13': 148.18405531339366} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11952139320261783, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 10.22724384021141, 'alphas1': 33.95276861318196, 'alphas2': 77.99433738199257, 'alphas3': 0.4934547636793384, 'alphas4': 0.779347283839593, 'alphas5': 1.8231156559939925, 'alphas6': 109.72429921897933, 'alphas7': 9.267484348764937, 'alphas8': 35.6509803865039, 'alphas9': 47.205332522844415, 'alphas10': 3.9382321723425777, 'alphas11': 130.17087561988444, 'alphas12': 112.69497554103455, 'alphas13': 148.05775795309745} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11949991435428758, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 13.36186384108528, 'alphas1': 33.799736936958936, 'alphas2': 73.36725664363746, 'alphas3': 1.7800752731972496, 'alphas4': 0.9822733300548534, 'alphas5': 1.584324667032465, 'alphas6': 100.39611254315047, 'alphas7': 0.6860987615038329, 'alphas8': 46.11402361184433, 'alphas9': 36.08285126188565, 'alphas10': 2.1456215562976064, 'alphas11': 134.0313929501195, 'alphas12': 126.48996115936401, 'alphas13': 137.85266376776383} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11949585747038986, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 12 is suboptimal. Config: {'alphas0': 11.549206576798898, 'alphas1': 33.80130926321472, 'alphas2': 65.32660229154455, 'alphas3': 0.89805115249427, 'alphas4': 1.6074059627144028, 'alphas5': 1.2907938885632229, 'alphas6': 90.38710952678329, 'alphas7': 6.640102108185023, 'alphas8': 45.80656933092025, 'alphas9': 43.21401911473563, 'alphas10': 2.0571236789518847, 'alphas11': 134.36608998693887, 'alphas12': 127.69607849219622, 'alphas13': 149.90212344189302} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11962828192890068, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 10.937245866304346, 'alphas1': 29.387409123034484, 'alphas2': 79.25687738730127, 'alphas3': 0.3578290634807169, 'alphas4': 1.984865163466265, 'alphas5': 0.5746753496202285, 'alphas6': 102.96116116891272, 'alphas7': 9.809637088854279, 'alphas8': 40.98653100154361, 'alphas9': 48.50476660272036, 'alphas10': 0.5708017537439254, 'alphas11': 144.45985648185632, 'alphas12': 116.66966412269191, 'alphas13': 144.06975893553602} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11939317136444318, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
