BayesianSearch: New best config found. Config 0: {'alphas0': 35.570677093501104, 'alphas1': 50.65594491486105, 'alphas2': 51.47673705736542, 'alphas3': 50.83510432704754, 'alphas4': 37.41382180715835, 'alphas5': 23.062902437561995, 'alphas6': 17.85207639266834, 'alphas7': 3.4027786390465917, 'alphas8': 16.359377674806794, 'alphas9': 28.659907039281, 'alphas10': 48.730123726529605, 'alphas11': 28.798630342503447, 'alphas12': 23.56708776604979, 'alphas13': 50.164725812242665, 'alphas14': 20.243769625036105} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06172526051902221, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 38.89031232307184, 'alphas1': 22.094492390432883, 'alphas2': 57.429309537182796, 'alphas3': 8.42104682475871, 'alphas4': 52.205235501506195, 'alphas5': 28.416482716422635, 'alphas6': 48.054645118778666, 'alphas7': 31.228648773072297, 'alphas8': 40.732771807137624, 'alphas9': 43.237959283555014, 'alphas10': 34.921187524506436, 'alphas11': 32.242393766940644, 'alphas12': 45.51693745934144, 'alphas13': 6.354456431267529, 'alphas14': 28.416025160799453} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06314896242756342, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 11.1799405996056, 'alphas1': 44.215090627737496, 'alphas2': 12.993021265462316, 'alphas3': 8.113090404327124, 'alphas4': 19.44846046759285, 'alphas5': 8.980492031020992, 'alphas6': 13.339283295095262, 'alphas7': 23.189338867551722, 'alphas8': 54.15590853176429, 'alphas9': 26.99699939467366, 'alphas10': 36.78380747304795, 'alphas11': 54.14091499043907, 'alphas12': 5.956821021538434, 'alphas13': 58.188544064804944, 'alphas14': 39.18840214787627} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06170161098513456, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 10.25457510816271, 'alphas1': 21.489130018171505, 'alphas2': 45.04116847310739, 'alphas3': 36.46984012292807, 'alphas4': 19.502833740501153, 'alphas5': 2.305525588364084, 'alphas6': 38.05644347744011, 'alphas7': 57.536956117471235, 'alphas8': 39.167419020329454, 'alphas9': 38.10353241621384, 'alphas10': 59.71797406067327, 'alphas11': 34.911019766312066, 'alphas12': 24.862115293582136, 'alphas13': 28.481850137304782, 'alphas14': 37.4106060679121} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06118888696774978, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 20.280456890333507, 'alphas1': 40.48513933554125, 'alphas2': 19.032104524157766, 'alphas3': 46.70072892155456, 'alphas4': 56.97426320704454, 'alphas5': 39.751612017002664, 'alphas6': 0.8142981367265902, 'alphas7': 37.37076573280017, 'alphas8': 40.41957785014737, 'alphas9': 58.31670014997996, 'alphas10': 52.69160828083063, 'alphas11': 30.577462603194014, 'alphas12': 3.3428816220963795, 'alphas13': 27.069552871255695, 'alphas14': 1.1992599245255244} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.062260370905769455, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 5: {'alphas0': 26.502655274930728, 'alphas1': 58.77520372876372, 'alphas2': 21.566667838159294, 'alphas3': 28.853611850169777, 'alphas4': 41.31967096834623, 'alphas5': 52.82855335515574, 'alphas6': 55.0941279817287, 'alphas7': 13.009328257652577, 'alphas8': 33.911331996292525, 'alphas9': 51.906153678323115, 'alphas10': 30.538137640020874, 'alphas11': 55.00337724116766, 'alphas12': 55.269456614232, 'alphas13': 4.986749557836144, 'alphas14': 16.66311367686195} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06325509618291741, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 0.5614022913919571, 'alphas1': 50.540524780063876, 'alphas2': 38.830448411253336, 'alphas3': 50.48316715184128, 'alphas4': 15.883809857006982, 'alphas5': 23.86924516551775, 'alphas6': 33.169288793254296, 'alphas7': 9.89642761451305, 'alphas8': 22.188485564900404, 'alphas9': 8.786505763746737, 'alphas10': 34.177104355398406, 'alphas11': 42.22423675739498, 'alphas12': 17.30858622291172, 'alphas13': 25.99728371892265, 'alphas14': 45.36640163190247} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0625067941546986, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 23.765896525401743, 'alphas1': 53.76230325054463, 'alphas2': 38.33526457387878, 'alphas3': 53.49326623354064, 'alphas4': 40.80333416780474, 'alphas5': 26.95186429310233, 'alphas6': 58.71425570524303, 'alphas7': 6.972114576743666, 'alphas8': 46.021422213523614, 'alphas9': 24.70920833789069, 'alphas10': 40.526344872014164, 'alphas11': 14.987776539298688, 'alphas12': 18.79309991675706, 'alphas13': 57.92497323119564, 'alphas14': 35.30790510412497} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06291370427059689, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 39.58010472416478, 'alphas1': 31.9923752349989, 'alphas2': 13.831981410379795, 'alphas3': 23.692157607013755, 'alphas4': 37.12851387548143, 'alphas5': 28.492050924536528, 'alphas6': 28.207931355345917, 'alphas7': 42.964471873718594, 'alphas8': 17.279460261796835, 'alphas9': 23.00773350209688, 'alphas10': 44.95019022916349, 'alphas11': 52.70713141656253, 'alphas12': 6.1718015216062945, 'alphas13': 5.542433367653892, 'alphas14': 21.242799725028615} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06165676385739456, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 33.108975547995534, 'alphas1': 2.017505609929922, 'alphas2': 58.137705915616436, 'alphas3': 19.259834482409854, 'alphas4': 13.27576111102697, 'alphas5': 8.475834295553803, 'alphas6': 5.835595623790434, 'alphas7': 59.0425344818488, 'alphas8': 15.620455655244283, 'alphas9': 32.221351282546784, 'alphas10': 26.875570312243802, 'alphas11': 5.974145346648666, 'alphas12': 21.138699672031986, 'alphas13': 28.154950439414534, 'alphas14': 50.46840778713598} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0628062558893926, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 10: {'alphas0': 54.27886465257082, 'alphas1': 2.2535630296884173, 'alphas2': 30.49892691473346, 'alphas3': 10.01085078290998, 'alphas4': 46.743061176542156, 'alphas5': 51.895997736149575, 'alphas6': 24.68380342532728, 'alphas7': 8.398355129592103, 'alphas8': 1.9933431159706365, 'alphas9': 58.95449758951163, 'alphas10': 22.39744504699529, 'alphas11': 25.204522187436645, 'alphas12': 3.035286903254234, 'alphas13': 21.929766375804622, 'alphas14': 0.997678424032036} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06337324905517745, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 13.844540124407743, 'alphas1': 45.89470193981144, 'alphas2': 56.64741116612729, 'alphas3': 44.99995492620603, 'alphas4': 20.364229166971118, 'alphas5': 29.37293621346563, 'alphas6': 20.3391070067867, 'alphas7': 10.769415655071343, 'alphas8': 10.25919592098789, 'alphas9': 27.807058643068984, 'alphas10': 52.474377458699806, 'alphas11': 56.647185055053825, 'alphas12': 36.495171951240785, 'alphas13': 35.79932437770319, 'alphas14': 47.018654718113325} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06164277506928673, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 12: {'alphas0': 30.00157786375809, 'alphas1': 3.022203405452629, 'alphas2': 41.945884483110675, 'alphas3': 59.54378393331797, 'alphas4': 16.035752272888697, 'alphas5': 40.74543693764484, 'alphas6': 51.85688656117469, 'alphas7': 45.050654737705905, 'alphas8': 57.869386067365866, 'alphas9': 33.254546105066424, 'alphas10': 12.743429933418518, 'alphas11': 13.346593463209128, 'alphas12': 13.124962424206313, 'alphas13': 34.17441207448429, 'alphas14': 27.126542102005548} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06432738488914068, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 58.21420098576605, 'alphas1': 40.83268147156678, 'alphas2': 5.117733951522035, 'alphas3': 3.385099962837975, 'alphas4': 29.27026226153786, 'alphas5': 52.86027373210051, 'alphas6': 58.584263195582565, 'alphas7': 37.05947496575282, 'alphas8': 32.549926500623855, 'alphas9': 51.276814818642876, 'alphas10': 44.63007271858727, 'alphas11': 28.715779537125012, 'alphas12': 40.62489444162513, 'alphas13': 36.422703666987104, 'alphas14': 42.88181617424143} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06298625617283929, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 14: {'alphas0': 28.169830985470263, 'alphas1': 27.36087739307204, 'alphas2': 54.38508522361028, 'alphas3': 8.233225205831678, 'alphas4': 13.75315938519477, 'alphas5': 52.89512395263486, 'alphas6': 54.26549854135391, 'alphas7': 38.747075910113956, 'alphas8': 19.480978323987923, 'alphas9': 31.18267161949658, 'alphas10': 0.0033214119005142715, 'alphas11': 18.71161324093135, 'alphas12': 25.527092277130564, 'alphas13': 53.120259576575144, 'alphas14': 40.792767384406176} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06612154941420993, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
